Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1961","1961","m3","104811504","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1962","1962","m3","106768603","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1963","1963","m3","105847128","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1964","1964","m3","106684150","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1965","1965","m3","108068759","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1966","1966","m3","110372043","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1967","1967","m3","112712081","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1968","1968","m3","114872955","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1969","1969","m3","117022762","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1970","1970","m3","119840582","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1971","1971","m3","121278743","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1972","1972","m3","121116926","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1973","1973","m3","121587967","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1974","1974","m3","123323265","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1975","1975","m3","130343926","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1976","1976","m3","134534060","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1977","1977","m3","139291830","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1978","1978","m3","147877953","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1979","1979","m3","158470406","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1980","1980","m3","167438475","Im","FAO data based on imputation methodology"
"FO","Forestry Production and Trade","21","Brazil","5516","Production","1861","Roundwood","1981","1981","m3","168795562","Im","FAO data based on imputation methodology"
