,Madeira serrada,,,Paineis de madeira,,,Papel + Papelão,,
,Prod,Import,Export,Prod,Import,Export,Prod,Import,Export
1961,1620818,,280087,63174,400,1307,533100,131800,
1962,1751600,,220858,65313,,880,601700,106600,100
1963,1517008,,222901,68163,,1546,656300,101100,
1964,1571701,,302196,75871,,4884,718300,58700,200
1965,1599602,,336987,84657,,7460,750700,39100,200
1966,1767088,200,370730,118306,,8467,813200,42400,800
1967,1983067,500,333043,137843,,10427,822600,105700,400
1968,2149057,1000,430305,161433,200,12867,886900,173600,300
1969,2372579,,354019,187286,100,12868,952200,159600,400
1970,2628965,,351565,236553,100,23754,1098600,180900,1400
1971,2729103,500,388981,308626,100,37331,1237300,222200,2900
1972,2619497,4600,360831,429533,200,41530,1345700,264300,9700
1973,2539894,33700,376929,472539,100,47947,1587900,295900,41000
1974,2811726,82900,261769,518306,200,50146,1853700,480200,30200
1975,4205189,77113,207756,652247,100,59537,1687800,217000,7200
1976,4452331,179900,173807,707583,100,62886,2044900,260300,29600
1977,5862984,256800,276803,903817,2400,87043,2235500,267500,42100
1978,6772424,360200,288629,1029803,3300,128725,2534100,276200,105800
1979,8248721,311200,485129,1193623,1000,161807,2979000,298700,143900
1980,7975911,461700,433607,1214530,1000,152165,3361000,261400,197600
1981,8633846,334700,401246,1275578,300,180280,3102000,235600,337000
1982,8793814,341600,279619,1155423,500,145976,3329000,259300,264300
1983,8898911,270700,296475,1184348,400,176799,3426000,206600,440700
1984,8346715,339100,246867,1069333,500,188330,3768000,215800,702700
1985,8382116,353900,232357,1063498,300,190449,4022000,136900,543400
1986,8609680,424300,216970,1091046,400,203719,4525000,281716,692200
1987,9242800,308100,282560,1291526,900,213685,4712000,323300,609400
1988,8754103,111900,313826,1258291,900,292012,4685000,215500,1003100
1989,7833162,258400,241988,1145307,1900,254958,4806000,258000,830200
1990,6020027,265000,223000,1165421,7800,246939,4844000,233700,839700
1991,8149420,255400,263273,1301831,4900,281956,4888000,365000,1039000
1992,7880894,228444,356362,1318277,2765,356438,4913000,265322,1129952
1993,7428302,219373,462422,1333366,4480,460107,5352000,364200,1274820
1994,8736084,381034,728912,1706027,8557,580760,5730000,540200,1435000
1995,9510127,456000,1013012,1626597,69700,533145,5856000,931900,1223200
1996,10216440,573000,786172,1805698,211800,503118,5885000,866200,1046700
1997,13214409,380500,1086031,2398150,254800,653056,6475000,1171400,1043300
1998,14955926,245000,1217468,2794610,126500,643595,6524000,854400,1242606
1999,15435292,145300,1634502,3499067,61400,1043555,6889000,722700,959716
2000,16314050,158700,1887222,3969752,28300,1237480,7116000,800800,839505
2001,17045920,165500,1956980,4300328,72500,1429610,7354000,598500,939174
2002,17503859,142300,2268932,4712207,92900,1814058,7661000,508800,1082450
2003,19125950,92000,2794904,5803227,132300,2441396,7811000,514635,1631693
2004,19273076,94614,3001773,6478938,182700,3150889,8221000,654019,1702285
2005,20088465,146393,3111179,7403482,304910,3755170,8597000,805525,1909631
2006,20192786,134000,2687337,7688868,371686,2887797,8725000,930459,1810412
2007,20919011,145000,2739889,7517132,279300,2614497,9009000,1046296,1838574
2008,19172224,113000,1861321,7403562,286733,2137300,9409000,1201200,1855402
2009,14741501,99975,1220118,6793604,168038,1508880,9428000,1005832,1910000
2010,15731505,84296,1040148,7948148,192907,1482747,9978000,1388909,1970020
2011,14567038,58161,1191491,8201096,196214,1303793,10159000,1314502,1942038
2012,13624982,44535,1097564,9045292,112430,1494522,10260000,1281470,1764273
2013,13915826,35893,1093974,9480366,128073,1442964,10444000,1219750,1749055
2014,13809172,33484,1359292,9440696,93038,1655976,10398000,1222713,1718421
2015,13459538,28390,1664618,9233477,24276,2070670,10477000,775314,1920561
2016,13447928,29980,1932024,9628300,10177,2733133,10335000,616880,1938508
